index,shape-type,vertex-index,axis-0,axis-1
0,polygon,0,504.8386416727957,3143.178089333145
0,polygon,1,560.2488716809381,3057.9315816283106
0,polygon,2,590.0851493776302,2998.2590262349268
0,polygon,3,611.3967763038388,2921.5371693005754
0,polygon,4,636.9707286152892,2819.241360054774
0,polygon,5,645.4953793857726,2721.2078761942144
0,polygon,6,662.5446809267396,2610.3874161779295
0,polygon,7,679.5939824677065,2537.9278846288203
0,polygon,8,717.954910934882,2495.304630776403
0,polygon,9,730.7418870906072,2452.6813769239857
0,polygon,10,692.3809586234316,2380.2218453748765
0,polygon,11,641.233054000531,2363.1725438339095
0,polygon,12,521.8879432137626,2422.8450992272933
0,polygon,13,445.1660862794115,2405.7957976863268
0,polygon,14,449.42841166465325,2333.336266137217
0,polygon,15,483.52701474658704,2294.975337670042
0,polygon,16,534.6749193694877,2265.1390599733495
0,polygon,17,696.6432840086734,2248.089758432383
0,polygon,18,739.2665378610907,2252.3520838176246
0,polygon,19,884.1856009593093,2286.450686899558
0,polygon,20,931.0711801969683,2294.975337670042
0,polygon,21,956.6451325084186,2371.6971946043927
0,polygon,22,952.3828071231769,2427.1074246125354
0,polygon,23,969.4321086641439,2478.255329235436
0,polygon,24,1003.5307117460777,2508.091606932128
0,polygon,25,1041.8916402132531,2533.665559243578
0,polygon,26,1093.039544836154,2546.4525353993035
0,polygon,27,1195.3353540819553,2482.5176546206776
0,polygon,28,1280.58186178679,2456.9437023092273
0,polygon,29,1348.7790679506575,2465.4683530797106
0,polygon,30,1404.1892979588,2546.4525353993035
0,polygon,31,1472.3865041226675,2584.813463866479
0,polygon,32,1608.7809164504029,2597.600440022204
0,polygon,33,1702.5520749257207,2610.3874161779295
0,polygon,34,1753.6999795486213,2631.699043104138
0,polygon,35,1770.7492810895883,2695.633923882764
0,polygon,36,1775.01160647483,2763.8311300466316
0,polygon,37,1779.273931860072,2853.339963136708
0,polygon,38,1796.3232334010386,2913.012518530092
0,polygon,39,1804.8478841715223,2989.734375464443
0,polygon,40,1792.060908015797,3053.669256243069
0,polygon,41,1792.060908015797,3121.8664624069365
0,polygon,42,1817.6348603272472,3253.99854934943
0,polygon,43,1813.3725349420056,3305.1464539723306
0,polygon,44,1770.7492810895883,3313.6711047428144
0,polygon,45,1728.126027237171,3245.473898578947
0,polygon,46,1694.0274241552372,3198.588319341288
0,polygon,47,1638.6171941470948,3228.4245970379798
0,polygon,48,1613.0432418356445,3283.834827046122
0,polygon,49,1608.7809164504029,3424.491564759099
0,polygon,50,1600.2562656799194,3496.9510963082084
0,polygon,51,1655.6664956880618,3552.361326316351
0,polygon,52,1694.0274241552372,3573.6729532425597
0,polygon,53,1753.6999795486213,3582.197604013043
0,polygon,54,1817.6348603272472,3633.3455086359436
0,polygon,55,1834.6841618682142,3675.968762488361
0,polygon,56,1847.4711380239396,3722.85434172602
0,polygon,57,1873.04509033539,3774.002246348921
0,polygon,58,1885.8320664911148,3863.511079438997
0,polygon,59,1885.8320664911148,3914.6589840618976
0,polygon,60,1860.2581141796645,3953.0199125290733
0,polygon,61,1830.4218364829726,3987.118515611007
0,polygon,62,1783.5362572453137,4034.0040948486658
0,polygon,63,1749.4376541633796,4076.627348701083
0,polygon,64,1706.8144003109626,4004.1678171519743
0,polygon,65,1728.126027237171,3935.9706109881063
0,polygon,66,1715.3390510814459,3884.8227063652057
0,polygon,67,1681.240447999512,3850.7241032832717
0,polygon,68,1642.8795195323366,3816.625500201338
0,polygon,69,1617.3055672208861,3854.9864286685133
0,polygon,70,1566.1576625979856,3923.183634832381
0,polygon,71,1519.2720833603266,3940.232936373348
0,polygon,72,1387.1399964178331,3918.9213094471393
0,polygon,73,1284.8441871720315,3927.445960217623
0,polygon,74,1127.1381479180877,3918.9213094471393
0,polygon,75,1156.9744256147799,4021.217118692941
0,polygon,76,1178.2860525409885,4059.5780471601165
0,polygon,77,1139.9251240738129,4123.512927938742
0,polygon,78,1041.8916402132531,4097.938975627292
0,polygon,79,982.2190848198691,4068.1026979306
0,polygon,80,909.7595532707596,4004.1678171519743
0,polygon,81,888.447926344551,3965.806888684798
0,polygon,82,888.447926344551,3918.9213094471393
0,polygon,83,918.2842040412431,3884.8227063652057
0,polygon,84,952.3828071231769,3842.1994525127884
0,polygon,85,914.0218786560015,3799.576198660371
0,polygon,86,803.2014186397166,3739.903643266987
0,polygon,87,679.5939824677065,3641.8701594064273
0,polygon,88,611.3967763038388,3603.5092309392517
0,polygon,89,500.57631628755394,3454.327842455791
0,polygon,90,462.2153878203784,3326.4580808985393
0,polygon,91,462.2153878203784,3275.3101762756387
