h2r4,ilastik,optical_flow,region_growing,thresholding
240422-231601,97.34,92.33,39.23,93.5
240423-133301,96.22,87.79,34.79,93.81
240423-212701,93.96,91.07,37.75,93.78999999999999
240423-224701,93.61,91.19,36.43,92.57
240424-014501,93.76,90.16,33.39,92.78
240424-071801,94.26,92.62,35.23,94.14
240424-073601,94.1,93.27,33.97,92.15
240424-080301,96.94,93.78999999999999,70.53,94.14
240424-165701,94.11,90.89,33.68,94.31
240425-112701,95.04,94.56,65.86999999999999,95.85000000000001
240426-055801,95.34,95.69,94.08999999999999,93.19
240426-161701,91.14999999999999,94.52000000000001,90.94,91.92
240426-175601,93.58999999999999,93.69,90.75999999999999,92.41
240427-004701,92.58999999999999,94.06,90.28,92.31
240427-005901,92.63,94.94,90.36999999999999,93.63
240427-023201,94.56,94.89999999999999,93.88,93.69
240428-111301,86.28,88.44,82.87,77.32
240428-112501,85.36,87.99,81.49,78.0
240428-162801,86.79,88.05,83.39999999999999,75.74
240428-171401,83.7,89.74,81.39,76.14999999999999
240429-101801,89.46,90.31,87.3,82.5
