h2r1,ilastik,optical_flow,region_growing,thresholding
240419-194501,91.14999999999999,94.55,88.3,91.78
240419-211101,89.31,92.65,85.27,87.01
240420-023401,88.66000000000001,92.25999999999999,76.31,83.95
240420-223101,88.24,89.8,87.13,88.81
240421-144901,95.14,95.7,92.65,93.0
240421-202101,92.15,92.09,90.36999999999999,91.03
240422-052501,89.19,84.06,89.22,89.52
240422-102301,87.64999999999999,75.68,88.74,86.61
240423-011901,89.46,85.52,90.72,87.82
240423-034701,92.25999999999999,83.03,91.47,92.82000000000001
240423-160401,92.81,90.14999999999999,89.35,90.72
240423-190201,93.45,93.25,90.36999999999999,91.55
240423-201001,92.96,89.37,89.18,91.12
240424-155701,93.39,92.7,89.32,89.39
240425-172701,93.13,91.21000000000001,90.16999999999999,93.5
240426-024601,93.11,90.53,89.55,92.04
240426-082101,93.85,91.44,90.09,92.97
240426-094801,92.91,86.71,89.75,90.64
240426-201901,96.06,94.27,86.0,94.82000000000001
240427-093201,92.92,90.47,89.91,92.49000000000001
240427-124801,89.12,94.41000000000001,81.84,87.2
